player,team,position,age,salary_millions,performance_score,ps_per_million,value_rating,is_optimal,optimal_rank
Evan Mobley,CLE,PF,22,8.9,73,8.2,Excellent Value,True,1
Paolo Banchero,ORL,PF,20,11.1,70,6.31,Excellent Value,True,2
Jayson Tatum,BOS,SF,25,32.6,88,2.7,Good Value,True,3
Jimmy Butler,MIA,SF,33,37.7,83,2.2,Good Value,True,4
Bam Adebayo,MIA,C,26,30.4,82,2.7,Good Value,True,5
Nikola Jokic,DEN,C,28,47.6,96,2.02,Good Value,True,6
Darius Garland,CLE,PG,23,8.9,74,8.31,Excellent Value,True,7
Ja Morant,MEM,PG,23,12.1,78,6.45,Excellent Value,True,8
Devin Booker,PHO,SG,26,36.0,82,2.28,Good Value,True,9
